Sensors;Cores
3;0
Time;pc 0;pc 1;pc 2;pc 3;current 0;current 1;current 2;current 3;current 4;current 5;current 6;voltage 0;voltage 1;voltage 2;voltage 3;voltage 4;voltage 5;voltage 6
1.91549;0;0;0;0;0.279306;0.00485774;-14.9127;0;0;0;0;5.10548;1.49624;0.0125163;0;0;0;0
1.91557;0;0;0;0;0.318187;0.00493843;16.6423;0;0;0;0;5.12167;1.51944;0.0171467;0;0;0;0
1.91578;0;0;0;0;0.333514;0.00485774;2.49696;0;0;0;0;5.11319;1.51093;0.0125163;0;0;0;0
1.91587;0;0;0;0;0.319639;0.00485774;2.49696;0;0;0;0;5.1101;1.51093;0.0125163;0;0;0;0
1.91596;0;0;0;0;0.306571;0.00485774;2.49696;0;0;0;0;5.10856;1.51171;0.0132881;0;0;0;0
1.91604;0;0;0;0;0.298343;0.00485774;3.58506;0;0;0;0;5.10625;1.51016;0.0125163;0;0;0;0
1.91613;0;0;0;0;0.292212;0.00485774;2.49696;0;0;0;0;5.10625;1.50939;0.0132881;0;0;0;0
1.91622;0;0;0;0;0.288824;0.00485774;3.58506;0;0;0;0;5.10702;1.51016;0.0125163;0;0;0;0
1.9163;0;0;0;0;0.281726;0.00485774;6.84937;0;0;0;0;5.1047;1.51171;0.0125163;0;0;0;0
1.91639;0;0;0;0;0.279144;0.00485774;-0.767349;0;0;0;0;5.10548;1.50784;0.0125163;0;0;0;0
1.91648;0;0;0;0;0.275917;0.00485774;3.58506;0;0;0;0;5.1101;1.50784;0.0125163;0;0;0;0
1.91656;0;0;0;0;0.285275;0.00485774;3.58506;0;0;0;0;5.10933;1.50707;0.0132881;0;0;0;0
1.91665;0;0;0;0;0.283178;0.00485774;1.40886;0;0;0;0;5.1047;1.50939;0.0117446;0;0;0;0
1.91674;0;0;0;0;0.283662;0.00485774;3.58506;0;0;0;0;5.10625;1.51016;0.0132881;0;0;0;0
1.91683;0;0;0;0;0.285436;0.00501911;1.40886;0;0;0;0;5.11396;1.52486;0.0132881;0;0;0;0
1.91691;0;0;0;0;0.280919;0.00485774;-11.6484;0;0;0;0;5.09545;1.50088;0.0117446;0;0;0;0
